Months_since_IRS,N,NTOTALdead,NTOTALfed,NTOTALexit,Group,Datasource
2.75,51,5,46,18,Delta_spray,UNPUBLISHED_Data_Corbel
3,85,18,67,37,Delta_spray,UNPUBLISHED_Data_Corbel
3.25,64,12,54,34,Delta_spray,UNPUBLISHED_Data_Corbel
3.5,90,15,73,42,Delta_spray,UNPUBLISHED_Data_Corbel
3.75,41,8,40,17,Delta_spray,UNPUBLISHED_Data_Corbel
4,22,1,21,12,Delta_spray,UNPUBLISHED_Data_Corbel
4.25,17,2,14,10,Delta_spray,UNPUBLISHED_Data_Corbel
4.5,25,2,24,10,Delta_spray,UNPUBLISHED_Data_Corbel
4.75,30,3,30,12,Delta_spray,UNPUBLISHED_Data_Corbel
5,34,3,34,14,Delta_spray,UNPUBLISHED_Data_Corbel
5.25,33,3,33,14,Delta_spray,UNPUBLISHED_Data_Corbel
5.5,35,3,34,13,Delta_spray,UNPUBLISHED_Data_Corbel
5.75,40,2,39,13,Delta_spray,UNPUBLISHED_Data_Corbel
6,50,5,46,17,Delta_spray,UNPUBLISHED_Data_Corbel
6.25,60,4,56,24,Delta_spray,UNPUBLISHED_Data_Corbel
6.5,58,3,54,23,Delta_spray,UNPUBLISHED_Data_Corbel
6.75,53,3,49,20,Delta_spray,UNPUBLISHED_Data_Corbel
7,60,3,56,24,Delta_spray,UNPUBLISHED_Data_Corbel
7.25,65,4,61,26,Delta_spray,UNPUBLISHED_Data_Corbel
7.5,69,4,65,34,Delta_spray,UNPUBLISHED_Data_Corbel
7.75,71,1,69,35,Delta_spray,UNPUBLISHED_Data_Corbel
8,64,1,62,28,Delta_spray,UNPUBLISHED_Data_Corbel
8.25,75,1,73,36,Delta_spray,UNPUBLISHED_Data_Corbel
8.5,82,1,80,38,Delta_spray,UNPUBLISHED_Data_Corbel
8.75,82,1,79,40,Delta_spray,UNPUBLISHED_Data_Corbel
9,83,0,81,38,Delta_spray,UNPUBLISHED_Data_Corbel
9.25,75,0,73,30,Delta_spray,UNPUBLISHED_Data_Corbel
9.5,73,0,72,30,Delta_spray,UNPUBLISHED_Data_Corbel
9.75,75,0,74,30,Delta_spray,UNPUBLISHED_Data_Corbel
1,1032,696,1024,904,Alpha_spray,Rowland 2013
2,784,168,728,576,Alpha_spray,Rowland 2013
3,968,200,848,608,Alpha_spray,Rowland 2013
4,1368,232,1288,792,Alpha_spray,Rowland 2013
5,1144,160,1032,712,Alpha_spray,Rowland 2013
6,776,192,680,488,Alpha_spray,Rowland 2013
7,912,120,832,480,Alpha_spray,Rowland 2013
8,200,24,200,48,Alpha_spray,Rowland 2013
9,576,80,568,376,Alpha_spray,Rowland 2013
10,264,56,264,176,Alpha_spray,Rowland 2013
11,456,32,440,264,Alpha_spray,Rowland 2013
12,712,64,664,520,Alpha_spray,Rowland 2013
0.25,312,24,292,304,Alpha_spray,Ngufor_2016
0.5,292,0,272,292,Alpha_spray,Ngufor_2016
0.75,164,0,132,164,Alpha_spray,Ngufor_2016
1,148,16,132,144,Alpha_spray,Ngufor_2016
1.25,164,4,148,164,Alpha_spray,Ngufor_2016
1.5,72,0,72,72,Alpha_spray,Ngufor_2016
1.75,188,12,188,184,Alpha_spray,Ngufor_2016
2,188,8,184,188,Alpha_spray,Ngufor_2016
1,37,4,32,15,Alpha_spray,Agossa2015PLoSOne
2,26,8,12,11,Alpha_spray,Agossa2015PLoSOne
3,70,17,48,26,Alpha_spray,Agossa2015PLoSOne
4,100,11,85,31,Alpha_spray,Agossa2015PLoSOne
5,108,7,101,38,Alpha_spray,Agossa2015PLoSOne
6,96,6,89,26,Alpha_spray,Agossa2015PLoSOne
1,29,9,20,17,Delta_spray,Agossa2015PLoSOne
2,36,14,21,20,Delta_spray,Agossa2015PLoSOne
3,102,36,87,39,Delta_spray,Agossa2015PLoSOne
4,111,24,96,39,Delta_spray,Agossa2015PLoSOne
5,93,6,89,32,Delta_spray,Agossa2015PLoSOne
6,100,5,96,24,Delta_spray,Agossa2015PLoSOne
1,60,9,42,34,Lambda_spray,Agossa2015PLoSOne
2,24,6,12,8,Lambda_spray,Agossa2015PLoSOne
3,73,18,48,24,Lambda_spray,Agossa2015PLoSOne
4,105,15,83,17,Lambda_spray,Agossa2015PLoSOne
5,100,9,93,32,Lambda_spray,Agossa2015PLoSOne
6,111,6,104,21,Lambda_spray,Agossa2015PLoSOne
1.5,60,57,35,43,Lambda_spray,Tchicaya2014
4.5,8,7,1,1,Lambda_spray,Tchicaya2014
9,20,9,17,7,Lambda_spray,Tchicaya2014
